age,qx,px,lx,dx,ex
18,0.00085,0.99915,100000.0,85.0,62.53142725054787
19,0.00091,0.99909,99915.0,90.92265,61.584624181101795
20,0.00098,0.99902,99824.07735,97.82759580300001,60.64071723378455
21,0.00106,0.99894,99726.24975419701,105.70982473944882,59.700203433149035
22,0.00115,0.99885,99620.53992945756,114.5636209188762,58.76355279911608
23,0.00124,0.99876,99505.9763085387,123.38741062258798,57.83120868910855
24,0.00132,0.99868,99382.5888979161,131.18501734524924,56.9030084195488
25,0.00138,0.99862,99251.40388057086,136.96693735518778,55.978219669512555
26,0.00143,0.99857,99114.43694321567,141.73364482879842,55.055576364896105
27,0.00147,0.99853,98972.70329838687,145.4898738486287,54.13441858347048
28,0.0015,0.9985,98827.21342453825,148.24082013680737,53.21411333006568
29,0.00152,0.99848,98678.97260440144,149.9920383586902,52.294054411683206
30,0.00153,0.99847,98528.98056604275,150.7493402660454,51.37366237849851
31,0.00154,0.99846,98378.23122577672,151.50247608769615,50.45238452682455
32,0.00155,0.99845,98226.72874968902,152.251429562018,49.53020103642066
33,0.00156,0.99844,98074.477320127,152.99618461939812,48.60709202906568
34,0.00158,0.99842,97921.4811355076,154.715940194102,47.68303756767125
35,0.00161,0.99839,97766.76519531349,157.40449196445473,46.75849599133757
36,0.00165,0.99835,97609.36070334904,161.05544516052592,45.833898568032104
37,0.00171,0.99829,97448.3052581885,166.63660199150232,44.90964948969011
38,0.00178,0.99822,97281.66865619701,173.16137020803066,43.986576535565916
39,0.00187,0.99813,97108.50728598898,181.59290862479938,43.06501225738406
40,0.00197,0.99803,96926.91437736417,190.94602132340742,42.145694706485195
41,0.00208,0.99792,96735.96835604076,201.21081418056477,41.22888561113915
42,0.0022,0.9978,96534.75754186019,212.37646659209244,40.31482043764946
43,0.00233,0.99767,96322.3810752681,224.43114790537467,39.403708596561884
44,0.00246,0.99754,96097.94992736273,236.40095682131232,38.495733655980324
45,0.00259,0.99741,95861.54897054141,248.28141183370224,37.590666696052594
46,0.00273,0.99727,95613.26755870771,261.024220435272,36.68827933954202
47,0.00287,0.99713,95352.24333827244,273.6609383808419,35.78871252473455
48,0.00302,0.99698,95078.5823998916,287.13731884767265,34.89172176620354
49,0.00318,0.99682,94791.44508104393,301.4367953577197,33.99741395635173
50,0.00335,0.99665,94490.00828568621,316.5415277570488,33.10587062493903
