age,qx,px,lx,dx,ex
18,0.00118,0.99882,100000.0,118.0,58.889955470041514
19,0.00124,0.99876,99882.0,123.85368,57.95952771274252
20,0.00131,0.99869,99758.14632000001,130.68317167920003,57.03148675632037
21,0.00149,0.99851,99627.4631483208,148.444920090998,56.10629600408573
22,0.00166,0.99834,99479.0182282298,165.13517025886148,55.190019132593314
23,0.00179,0.99821,99313.88305797095,177.771850673768,54.28178689884538
24,0.00189,0.99811,99136.11120729719,187.3672501817917,53.379125533550436
25,0.00196,0.99804,98948.7439571154,193.93953815594617,52.4802031174424
26,0.00199,0.99801,98754.80441895945,196.5220607937293,51.58326631942845
27,0.00199,0.99801,98558.28235816571,196.13098189274976,50.68612170161469
28,0.00197,0.99803,98362.15137627296,193.7734382112577,49.78718820614491
29,0.00193,0.99807,98168.3779380617,189.46496942045908,48.8854625674027
30,0.00189,0.99811,97978.91296864123,185.18014551073193,47.97999395573728
31,0.00184,0.99816,97793.73282313051,179.94046839456016,47.07084785818924
32,0.0018,0.9982,97613.79235473597,175.70482623852473,46.15761787507937
33,0.00178,0.99822,97438.08752849743,173.43979580072542,45.2408514076131
34,0.00179,0.99821,97264.64773269671,174.10371944152712,44.32152371983439
35,0.00182,0.99818,97090.54401325519,176.70479010412444,43.40100151254186
36,0.00188,0.99812,96913.83922315105,182.19801773952398,42.48013535889504
37,0.00197,0.99803,96731.64120541154,190.56133317466072,41.560148437958404
38,0.00207,0.99793,96541.07987223686,199.84003533553027,40.64218353953128
39,0.00219,0.99781,96341.23983690134,210.98731524281393,39.72648736838384
40,0.00232,0.99768,96130.25252165852,223.02218585024778,38.813679326108016
41,0.00245,0.99755,95907.23033580829,234.9727143227303,37.903936458692186
42,0.00258,0.99742,95672.25762148555,246.8344246634327,36.99702918018363
43,0.00271,0.99729,95425.42319682213,258.60289686338797,36.09272841950596
44,0.00283,0.99717,95166.82029995874,269.32210144888325,35.19080550241751
45,0.00294,0.99706,94897.49819850984,278.99864470361894,34.290678121501344
46,0.00304,0.99696,94618.49955380622,287.6402386435709,33.39178998405446
47,0.00313,0.99687,94330.85931516266,295.2555896564591,32.49361056015736
48,0.00322,0.99678,94035.6037255062,302.79464399613,31.595634897386176
49,0.0033,0.9967,93732.80908151007,309.31826996898326,30.69770149620395
50,0.00339,0.99661,93423.4908115411,316.7056338511243,29.799339315946572
51,0.00347,0.99653,93106.78517768996,323.0805445665842,28.900702698093102
52,0.00354,0.99646,92783.70463312339,328.4543144012568,28.00133733865825
53,0.00362,0.99638,92455.25031872213,334.6880061537741,27.100814221000597
54,0.0037,0.9963,92120.56231256835,340.8460805565029,26.19927559866777
55,0.00378,0.99622,91779.71623201184,346.92732735700474,25.296572918466097
56,0.00417,0.99583,91432.78890465484,381.27472973241066,24.392556783106237
57,0.0047,0.9953,91051.51417492243,427.9421166221354,23.49469968077507
58,0.00529,0.99471,90623.5720583003,479.3986961884086,22.605646217999666
59,0.00595,0.99405,90144.17336211188,536.3578315045658,21.725866049401
60,0.0067,0.9933,89607.81553060732,600.372364055069,20.855908706202907
61,0.00755,0.99245,89007.44316655224,672.0061959074694,19.996585831272437
62,0.0085,0.9915,88335.43697064479,750.8512142504808,19.14870858105943
63,0.00956,0.99044,87584.58575639431,837.3086398311297,18.31286795870845
64,0.01076,0.98924,86747.27711656317,933.4007017742198,17.48962881013333
65,0.01212,0.98788,85813.87641478895,1040.064182147242,16.679864148369788
66,0.01363,0.98637,84773.81223264169,1155.4670607309063,15.884504340982495
67,0.01534,0.98466,83618.34517191078,1282.7054149371113,15.10400188669819
68,0.01726,0.98274,82335.63975697367,1421.1131422053656,14.339306853836034
69,0.01942,0.98058,80914.52661476831,1571.3601068588007,13.59115010464216
70,0.02185,0.97815,79343.16650790951,1733.648188197823,12.86031746990777
71,0.02457,0.97543,77609.51831971169,1906.8658651153162,12.147592363040198
72,0.02763,0.97237,75702.65245459638,2091.664287320498,11.453576743631217
73,0.03107,0.96893,73610.98816727586,2287.0934023572613,10.779031380679388
74,0.03492,0.96508,71323.8947649186,2490.6304051909574,10.12467503398531
75,0.03924,0.9607600000000001,68833.26435972765,2701.017293475713,9.491021504937738
76,0.04409,0.95591,66132.24706625195,2915.770773151048,8.878660128375179
77,0.04952,0.95048,63216.476293100895,3130.4799060343566,8.288175799369375
78,0.05559,0.94441,60085.996387066545,3340.180539157029,7.719989688756601
79,0.06239,0.93761,56745.81584790951,3540.371450751074,7.174404854625219
80,0.06998,0.93002,53205.44439715844,3723.3169989131475,6.651800700318061
81,0.07847,0.92153,49482.12739824529,3882.862536940308,6.152320057975164
82,0.08793,0.91207,45599.264861304975,4009.543359254546,5.676201597316598
83,0.09846,0.90154,41589.72150205043,4094.9239790918855,5.223427584852695
84,0.11019,0.88981,37494.79752295854,4131.551739054802,4.7938944304775095
85,0.12321,0.87679,33363.245783903745,4110.68551303478,4.38754838727089
86,0.13765,0.86235,29252.56027086896,4026.614921285112,4.004104046887955
87,0.15362,0.84638,25225.945349583846,3875.2097246030708,3.643246995869374
88,0.17126,0.82874,21350.735624980774,3656.5269831342075,3.304505063764945
89,0.19069,0.80931,17694.208641846566,3374.108645913722,2.9873845401029824
90,0.21203,0.7879700000000001,14320.099995932844,3036.2908021376406,2.691273480005168
91,0.23538,0.76462,11283.809193795203,2655.983008035515,2.415451705020709
92,0.26086,0.73914,8627.826185759688,2250.654738817272,2.15902239677318
93,0.28854,0.71146,6377.171446942416,1840.0690493007648,1.9209925004372375
94,0.31848,0.68152,4537.102397641652,1444.9763716009131,1.7000709814146087
95,0.35069,0.64931,3092.126026040738,1084.3776760722264,1.4945283798195337
96,0.38515,0.61485,2007.748349968512,773.2842769903724,1.3017177924558891
97,0.42178,0.57822,1234.4640729781395,520.6722567007197,1.1171306700103916
98,0.46043,0.53957,713.7918162774198,328.6511659686124,0.9320166545785199
99,0.50087,0.49912999999999996,385.1406503088074,192.90539752017236,0.727332236
100,0.5428,0.45720000000000005,192.235252788635,104.34529521367106,0.45720000000000005
